d1m_01|十五岁道童，青色道袍，头挽双髻，眉清目秀，神情乖巧
d1m_02|十六岁妖族少年，额生一对小角，兽皮短衣，眼瞳竖长，笑得野
d1f_01|十六岁宗门女弟子，月白法衣，长发垂肩系一根红绳，眼神清亮
d1f_02|十四岁小狐妖，一双狐耳，杏色衣裙，眼角上挑，狡黠
d2m_01|二十五岁玄门弟子，靛青道袍，束发插玉簪，面容清冷，眉心一点朱砂
d2m_02|三十岁截门散修，粗布褐衣，散发用麻绳束起，脸上有风霜，眼神桀骜
d2f_01|二十二岁仙子，素白广袖，发髻插银钗，眉目淡然，肩头有淡淡宝光
d2f_02|二十八岁妖女，赤红衣裙，额角有鳞片，唇色浓，笑里带险
d3m_01|四十五岁宗门长老，紫金道袍，长须及胸，神情威严，眼下有细纹
d3m_02|五十岁老僧，黄色袈裟，光头有戒疤，面容宽厚，颈挂佛珠
d3f_01|四十岁女修，深青法衣，发髻端正，面容肃穆，眉间一道浅疤
d3f_02|四十八岁妖王，墨绿衣领，头生鹿角，面容艳丽而冷，眼瞳金色
d4m_01|七十岁老祖，鹤发童颜，白色道袍，长眉垂到眼角，神情莫测
d4m_02|六十五岁老妖，皮肤灰青，白发蓬乱，獠牙微露，眼神浑浊而狡猾
d4f_01|六十岁老仙姑，灰白道袍，白发挽髻，面容慈和，眼神清明
d4f_02|七十岁老巫，兽骨项链，脸上画着彩纹，白发披散，眼神幽深
w1m_01|十五岁骑士侍从，带纹章的罩袍，短发，稚气未脱，一脸认真
w1m_02|十六岁魔法学徒，灰蓝长袍，卷发凌乱，鼻梁有雀斑，眼神好奇
w1f_01|十六岁贵族少女，束腰长裙，珠网发饰，神情矜持
w1f_02|十四岁孤儿院女孩，粗麻衣，短发，脸上有灰，眼神警惕
w2m_01|二十六岁青年骑士，链甲外罩纹章袍，短须，眼神坚毅
w2m_02|三十岁魔法师，深紫长袍，高领，脸色苍白，眼神锐利，鬓角有白
w2f_01|二十四岁女骑士，半身板甲，金发扎成一股辫子，下颌有一道旧疤
w2f_02|二十八岁女巫，黑色长袍兜帽半掀，红发，笑意讥诮
w3m_01|四十五岁伯爵，毛领长袍，金链，面容威严，鹰钩鼻
w3m_02|五十岁大主教，红色法衣，白色高冠，面白微胖，眼神精明
w3f_01|四十岁女大魔导，靛蓝长袍绣银纹，发髻严整，面容冷峻
w3f_02|四十六岁酒馆老板娘，粗布围裙，头巾包发，圆脸，笑容爽利
w4m_01|六十五岁老骑士团长，褪色板甲，白色短须，脸上几道旧疤，眼神犹锐
w4m_02|七十岁贤者，灰白长袍，白色长须，眼窝深陷，神情疲惫而温和
w4f_01|六十岁修道院院长，黑袍白头巾，面容严肃，嘴角下垂
w4f_02|六十八岁药婆，深褐布衣，白发用布条束住，背微驼，眯眼含笑
s1m_01|十六岁学园男生，深蓝立领制服，黑发略乱，神情倔强
s1m_02|十五岁下忍，深灰忍装，额带护额，脸上有伤贴，笑得没心没肺
s1f_01|十六岁学园女生，水手领制服，黑色短发，眼神认真
s1f_02|十四岁巫女，红白巫女服，长发用白绳束在脑后，神情安静
s2m_01|二十五岁剑豪，藏青羽织，发髻，面容瘦削，眼神沉静
s2m_02|二十八岁阴阳师，白色狩衣，乌帽子，面白唇薄，神情倨傲
s2f_01|二十二岁女忍，黑色忍装，长发高束，眼神冷
s2f_02|二十六岁雪女，白色和服，长发雪白，皮肤透着青，神情哀婉
s3m_01|四十五岁藩主，黑色纹付羽织，短须，面容方正，眼神威压
s3m_02|五十岁道场师范，灰色道服，寸头花白，脸上一道刀疤，神情严厉
s3f_01|四十岁阴阳寮女官，紫色狩衣，长发垂到腰，面容端正，眼神审视
s3f_02|四十二岁鬼女，额生一角，暗红和服，面容艳丽，眼神凶
s4m_01|七十岁忍村长老，灰色忍装，白须，独眼，神情深沉
s4m_02|六十五岁老和尚，黑色僧衣，光头，皱纹深，笑容宽厚
s4f_01|六十岁大妖山姥，蓬乱白发，褐色旧和服，笑起来露牙
s4f_02|六十二岁学园长，灰色和服外披羽织，银发挽髻，眼神温和而锐利
h1m_01|十五岁公会跑腿少年，皮背心，头发乱，笑得机灵
h1m_02|十六岁黑市学徒，深色兜帽半掀，眼神滴溜溜转
h1f_01|十六岁见习冒险者，皮甲，双马尾，神情跃跃欲试
h1f_02|十五岁神殿侍女，白色长袍绣金边，面容恬静
h2m_01|二十六岁冒险者，旧皮甲，短须，脸上有晒痕，神情随和
h2m_02|三十岁商盟掌柜，锦缎长袍东西风混搭，圆脸精明，眼神含笑
h2f_01|二十五岁女冒险者，皮甲加披风，褐发扎起，眼神爽利
h2f_02|二十八岁命运神殿女祭司，深靛长袍绣金轮纹，面容沉静，眼神像看透人
h3m_01|四十五岁公会会长，厚实皮衣，络腮胡，一只手臂是机关义肢露出肩头
h3m_02|五十岁黑市头子，深色长袍，秃顶，脸上有烧伤疤，神情阴沉
h3f_01|四十岁商盟理事，暗红锦袍，高髻，面容雍容，眼神精明
h3f_02|四十八岁神殿占卜师，兜帽长袍，脸上有金色纹路，眼神幽远
h4m_01|七十岁退隐冒险者，旧披风，白发，脸上疤痕纵横，眼神平和
h4m_02|六十五岁大祭司，白色长袍金轮纹，白须，神情庄严
h4f_01|六十岁老掌柜，深褐长袍，白发挽髻，笑里带精
h4f_02|六十八岁老占卜师，灰袍，白发披散，一只眼睛是白的，神情莫测
x_immortal|白衣仙人，年岁看不出，长发无簪，眉目如画，身周有极淡的金色宝光
x_buddha|佛门高僧，金色袈裟，光头，眉间白毫，双目半闭，神情慈悲
x_dragon|化形的龙，额生龙角，鳞片延到颧骨，眼瞳竖长金色，神情倨傲
x_demon_east|黑袍魔修，眼白泛黑，额有暗纹，嘴角冷笑
x_knight|全身板甲，头盔夹在臂弯，短发，脸上有战伤，神情肃穆
x_priest|教廷枢机，深红法衣，白发，面容清癯，眼神深不见底
x_elf|精灵，尖耳，银白长发，绿色衣领，面容清丽而冷
x_dwarf|矮人，红色大胡子编成辫子，皮围裙，眼神豪爽
x_orc|兽人，青灰皮肤，獠牙，骨饰，神情凶悍
x_undead|亡灵法师，黑袍，脸半边是骷髅，眼窝里有蓝火
x_ninja|黑色忍装，面罩遮到鼻梁，只露一双眼睛，眼神冷
x_onmyoji|阴阳师，白色狩衣，乌帽子，手边有一张符
x_yokai|天狗，红脸长鼻的面具推到额头，黑色山伏装，眼神狡黠
x_student|星见学园制服，深蓝立领，胸口一枚星形校徽，短发，神情朝气
x_adventurer|满身风尘的冒险者，皮甲外披旧斗篷，头发用布带束起，笑得疲惫
x_abyss|幽墟魔族，皮肤暗紫，额生弯角，眼瞳紫色发光，面容俊美而邪
x_mask|兜帽压得很低看不见眼睛，深色斗篷，只见下颌与嘴角
x_child|七八岁孩子，素色小衣，圆脸，神情懵懂
x_boss_east|幽墟里的东荒魔头，黑金残破的道袍，额上一道暗红魔纹，眼神阴鸷
x_fox|九尾妖狐化成的女子，眼角一抹绯红，白发里夹着狐耳，笑意勾人
x_fallen_angel|堕天使，焦黑的残翼，苍白俊美，眼瞳暗金
x_vampire|古老的吸血鬼，高领黑斗篷，面色惨白，唇边一点血
x_witch|黑衣魔女，长发如夜，额前一枚银饰，神情冷艳
x_oni|鬼王，额生双角，赤红皮肤，咧嘴露出獠牙，醉意凶悍
x_onryo|怨灵，残破的古代朝服，长发散乱，面色青白，眼里全是恨
x_devourer|看不清形体的东西，只有一团黑雾里一张越张越大的嘴
